feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
body_frac,2,9,12160,0.7,0.8,-0.2337594672014705,0.3589376785118059,0.5066611842105263,-0.33049639537988407,-0.005468750000000022
body_frac,2,10,12160,0.8,1.0,0.3619826113271956,0.512603712846671,0.5129111842105263,0.26524568314878205,0.0007812499999999556
close_loc,2,1,12160,0.0,0.10204081632653061,-0.0004392367600872629,0.4581032463613077,0.5094572368421053,-0.09717616493850083,-0.0026726973684210176
close_loc,2,2,12160,0.10204081632653061,0.2,0.01405613802245533,0.6633132222610971,0.5179276315789474,-0.08268079015595824,0.005797697368421062
close_loc,2,3,12160,0.2,0.30111524163568776,0.10814017150392612,0.5497083610017661,0.5193256578947368,0.011403243325512555,0.007195723684210509
close_loc,2,4,12160,0.30115830115830117,0.4117647058823529,0.07905614318609974,0.5421378244219177,0.5157072368421053,-0.01768078499231382,0.0035773026315789602
close_loc,2,5,12160,0.4117647058823529,0.5238095238095238,0.41146475282692235,0.5829073640917226,0.5178453947368421,0.3147278246485088,0.005715460526315774
close_loc,2,6,12160,0.5238095238095238,0.6349206349206349,0.19910066489684736,0.4906490506062511,0.5129934210526316,0.1023637367184338,0.0008634868421052433
close_loc,2,7,12160,0.635036496350365,0.7368421052631579,-0.03728895849734277,0.4897759935995616,0.5117598684210526,-0.13402588667575632,-0.00037006578947373914
close_loc,2,8,12160,0.7368421052631579,0.8295454545454546,0.08626123339062244,0.3621942864484584,0.5059210526315789,-0.010475694787791118,-0.0062088815789473895
close_loc,2,9,12160,0.8296703296703297,0.9130434782608695,0.1626817423344544,0.42337937189773633,0.5085526315789474,0.06594481415604084,-0.0035773026315789602
close_loc,2,10,12160,0.9130434782608695,1.0,-0.05566336911976218,0.2431311520267876,0.5018092105263158,-0.15240029729817572,-0.010320723684210553
upper_wick,2,1,12160,0.0,0.03496503496503497,-0.14941460990510336,0.457896424789217,0.5091282894736842,-0.24615153808351692,-0.0030016447368421684
upper_wick,2,2,12160,0.03496503496503497,0.08080808080808081,-0.1403451167580993,0.44671774696691813,0.5087993421052631,-0.23708204493651286,-0.003330592105263208
upper_wick,2,3,12160,0.08080808080808081,0.125,0.20600405958112764,0.49901863666268476,0.5125822368421052,0.10926713140271407,0.0004523026315789158
upper_wick,2,4,12160,0.125,0.17391304347826086,0.012178018477061407,0.46919720461779946,0.5116776315789474,-0.08455890970135216,-0.0004523026315789158
upper_wick,2,5,12160,0.17391304347826086,0.22727272727272727,0.1788151764486203,0.49875510228947206,0.5139802631578947,0.08207824827020674,0.0018503289473683626
upper_wick,2,6,12160,0.22727272727272727,0.2857142857142857,0.10300933951431464,0.5211420866124694,0.5151315789473684,0.006272411335901076,0.0030016447368420573
upper_wick,2,7,12160,0.2857142857142857,0.35714285714285715,0.07886956362228961,0.5388512256332412,0.5149671052631579,-0.01786736455612395,0.002837171052631593
upper_wick,2,8,12160,0.35714285714285715,0.4444444444444444,0.16933599131685798,0.49862209055007156,0.5125,0.07259906313844441,0.0003700657894736281
upper_wick,2,9,12160,0.4444444444444444,0.5714285714285714,0.24445787704217958,0.5182824124350116,0.5139802631578947,0.14772094886376602,0.0018503289473683626
upper_wick,2,10,12160,0.5714285714285714,1.0,0.2644589824448871,0.42802678105857694,0.5085526315789474,0.16772205426647352,-0.0035773026315789602
lower_wick,2,1,12160,0.0,0.037037037037037035,0.12519570743235794,0.34255964556972884,0.5058388157894737,0.028458779253944383,-0.006291118421052677
lower_wick,2,2,12160,0.037037037037037035,0.08695652173913043,0.38614533295781467,0.4697378560247767,0.5106907894736842,0.2894084047794011,-0.0014391447368421462
lower_wick,2,3,12160,0.08695652173913043,0.13636363636363635,-0.03582080919141196,0.46637089936352183,0.5104440789473684,-0.1325577373698255,-0.0016858552631578982
lower_wick,2,4,12160,0.13636363636363635,0.1875,-0.030034828139260755,0.437521897032056,0.5076480263157894,-0.12677175631767432,-0.004481907894736903
lower_wick,2,5,12160,0.1875,0.24742268041237114,0.22050808270315483,0.49338561670220216,0.5134868421052632,0.12377115452474127,0.0013569078947368585
lower_wick,2,6,12160,0.24742268041237114,0.3076923076923077,-0.0902712937414259,0.5145621090085761,0.5148848684210526,-0.18700822191983946,0.0027549342105263053
lower_wick,2,7,12160,0.3076923076923077,0.37719298245614036,0.1365176012539664,0.524604391815009,0.5172697368421053,0.03978067307555283,0.005139802631578982
lower_wick,2,8,12160,0.37719298245614036,0.4666666666666667,0.24876377165474867,0.671629725859102,0.5200657894736842,0.1520268434763351,0.007935855263157876
lower_wick,2,9,12160,0.4666666666666667,0.5909090909090909,0.11843380904806863,0.4883114856124582,0.5115131578947368,0.021696880869655072,-0.0006167763157894912
lower_wick,2,10,12160,0.5909090909090909,1.0,-0.11206809219387706,0.48227704542713745,0.5094572368421053,-0.20880502037229062,-0.0026726973684210176
body,4,1,11129,-0.016358537598670543,-0.0011610486891385767,-0.2085478910823528,0.9667907381438745,0.5124449636085902,-0.3879138119271195,-0.009273070356725643
body,4,2,11129,-0.0011608886074613476,-0.0006184929388722812,0.0419696938464021,1.0670081092611916,0.5243957228861533,-0.1373962269983646,0.0026776889208375287
body,4,3,11129,-0.0006184674376894057,-0.0003284287966368891,0.004201275733097083,1.0782058654390525,0.5305058855243059,-0.1751646451116696,0.00878785155899009
body,4,4,11129,-0.0003284287966368891,-0.000136332651670075,0.34340793537259334,1.0451505016728646,0.5323928475155001,0.16404201452782666,0.010674813550184292
body,4,5,11129,-0.00013632082486491844,1.5065913370998117e-05,0.05395836758547086,0.7398638650490952,0.5204420882379369,-0.1254075532592958,-0.00127594572737888
