feature,decile,n,feat_lo,feat_hi,p_up,lift
rng_contract,10,12544,1.7398041225995657,1632.632146319918,0.4950573979591837,-0.01797672193877553
gap,1,12544,-0.01540464308960729,-4.461895413171515e-05,0.5070153061224489,-0.006018813775510279
gap,2,12544,-4.46149727848666e-05,-2.350369595618911e-05,0.5107621173469388,-0.0022720025510204467
gap,3,12544,-2.3503419747573273e-05,0.0,0.5045440051020408,-0.008490114795918435
gap,4,12544,0.0,0.0,0.5107621173469388,-0.0022720025510204467
gap,5,12544,0.0,0.0,0.5162627551020408,0.0032286352040815647
gap,6,12544,0.0,0.0,0.5220025510204082,0.008968431122448939
gap,7,12544,0.0,0.0,0.5181760204081632,0.005141900510204023
gap,8,12544,0.0,2.586652871184687e-05,0.5141103316326531,0.001076211734693855
gap,9,12544,2.5868536099542126e-05,4.5833715280960675e-05,0.5145089285714286,0.0014748086734693855
gap,10,12544,4.583581610670578e-05,0.004670211237246731,0.5121970663265306,-0.0008370535714286031
